Customer ID,Recency,Frequency,Monetary,Monetary_capped,R_score,F_score,M_score,RFM_Score,RFM_Total,Segment
12346,326,3,77353,28616,2,3,5,235,10,At Risk
12347,2,8,4922,4922,5,4,5,545,14,Champions
12348,75,5,1658,1658,3,4,4,344,11,Loyal Customers
12349,19,3,3679,3679,5,3,5,535,13,Loyal Customers
12350,310,1,294,294,2,1,2,212,5,Lost
12351,375,1,301,301,2,1,2,212,5,Lost
12352,36,9,1730,1730,4,5,4,454,13,Champions
12353,204,2,407,407,2,2,2,222,6,Lost
12354,232,1,1079,1079,2,1,3,213,6,Lost
12355,214,2,948,948,2,2,3,223,7,Lost
12356,23,6,5612,5612,4,4,5,445,13,Champions
12357,33,2,17438,17438,4,2,5,425,11,New Customers
12358,2,5,3447,3447,5,4,5,545,14,Champions
12359,58,10,8873,8873,4,5,5,455,14,Champions
12360,52,6,3613,3613,4,4,5,445,13,Champions
12361,287,4,451,451,2,3,2,232,7,At Risk
12362,3,10,4737,4737,5,5,5,555,15,Champions
12363,110,2,552,552,3,2,2,322,7,Lost
12364,8,4,1208,1208,5,3,4,534,12,Loyal Customers
12365,291,1,321,321,2,1,2,212,5,Lost
12366,634,1,500,500,1,1,2,112,4,Lost
12367,4,1,151,151,5,1,1,511,7,New Customers
12368,628,1,918,918,1,1,3,113,5,Lost
12369,413,3,1511,1511,1,3,4,134,8,At Risk
12370,51,7,3957,3957,4,4,5,445,13,Champions
12371,60,4,3347,3347,3,3,5,335,11,Loyal Customers
12372,72,3,1196,1196,3,3,3,333,9,Loyal Customers
12373,311,3,928,928,2,3,3,233,8,At Risk
12374,25,3,2669,2669,4,3,4,434,11,Loyal Customers
12375,11,2,378,378,5,2,2,522,9,New Customers
12376,390,2,383,383,2,2,2,222,6,Lost
12377,315,4,3266,3266,2,3,5,235,10,At Risk
12378,130,2,5416,5416,3,2,5,325,10,Lost
12379,82,4,1470,1470,3,3,4,334,10,Loyal Customers
12380,22,8,7211,7211,4,4,5,445,13,Champions
12381,5,3,1475,1475,5,3,4,534,12,Loyal Customers
12383,185,5,1629,1629,3,4,4,344,11,Loyal Customers
12384,29,2,425,425,4,2,2,422,8,New Customers
12385,379,1,1668,1668,2,1,4,214,7,Lost
12386,338,2,402,402,2,2,2,222,6,Lost
12387,415,1,144,144,1,1,1,111,3,Lost
12388,16,8,3901,3901,5,4,5,545,14,Champions
12389,403,3,1433,1433,2,3,4,234,9,At Risk
12390,80,1,505,505,3,1,2,312,6,Lost
12391,22,6,2725,2725,4,4,4,444,12,Champions
12392,591,1,235,235,1,1,1,111,3,Lost
12393,72,6,2399,2399,3,4,4,344,11,Loyal Customers
12394,64,2,1080,1080,3,2,3,323,8,Lost
12395,19,15,4241,4241,5,5,5,555,15,Champions
12396,674,1,931,931,1,1,3,113,5,Lost
12397,36,2,2215,2215,4,2,4,424,10,New Customers
12398,46,1,1436,1436,4,1,4,414,9,New Customers
12399,119,7,1842,1842,3,4,4,344,11,Loyal Customers
12400,414,1,205,205,1,1,1,111,3,Lost
12401,303,1,69,69,2,1,1,211,4,Lost
12402,323,6,1137,1137,2,4,3,243,9,At Risk
12403,50,2,947,947,4,2,3,423,9,New Customers
12404,682,1,63,63,1,1,1,111,3,Lost
12405,149,1,1390,1390,3,1,4,314,8,Lost
12406,22,5,6390,6390,4,4,5,445,13,Champions
12407,50,5,1507,1507,4,4,4,444,12,Champions
12408,33,8,3906,3906,4,4,5,445,13,Champions
12409,79,7,23419,23419,3,4,5,345,12,Loyal Customers
12410,309,3,774,774,2,3,3,233,8,At Risk
12411,410,1,347,347,1,1,2,112,4,Lost
12412,75,6,2405,2405,3,4,4,344,11,Loyal Customers
12413,67,4,871,871,3,3,3,333,9,Loyal Customers
12414,217,4,532,532,2,3,2,232,7,At Risk
12415,24,24,144033,28616,4,5,5,455,14,Champions
12416,657,1,203,203,1,1,1,111,3,Lost
12417,3,20,5998,5998,5,5,5,555,15,Champions
12418,113,4,2021,2021,3,3,4,334,10,Loyal Customers
12419,386,2,391,391,2,2,2,222,6,Lost
12420,64,1,600,600,3,1,2,312,6,Lost
12421,16,6,875,875,5,4,3,543,12,Loyal Customers
12422,96,12,3639,3639,3,5,5,355,13,Loyal Customers
12423,1,10,2301,2301,5,5,4,554,14,Champions
12424,163,4,3340,3340,3,3,5,335,11,Loyal Customers
12425,78,2,1741,1741,3,2,4,324,9,Lost
12426,195,2,1201,1201,2,2,3,223,7,Lost
12427,22,3,700,700,4,3,3,433,10,Loyal Customers
12428,26,8,6405,6405,4,4,5,445,13,Champions
12429,9,8,5842,5842,5,4,5,545,14,Champions
12430,43,1,216,216,4,1,1,411,6,New Customers
12431,36,25,10102,10102,4,5,5,455,14,Champions
12432,43,4,4359,4359,4,3,5,435,12,Loyal Customers
12433,1,10,16794,16794,5,5,5,555,15,Champions
12434,85,3,1103,1103,3,3,3,333,9,Loyal Customers
12435,80,6,13926,13926,3,4,5,345,12,Loyal Customers
12436,100,1,429,429,3,1,2,312,6,Lost
12437,2,38,11282,11282,5,5,5,555,15,Champions
12438,14,2,2467,2467,5,2,4,524,11,New Customers
12439,683,2,1143,1143,1,2,3,123,6,Lost
12440,462,2,739,739,1,2,3,123,6,Lost
12441,367,1,156,156,2,1,1,211,4,Lost
12442,3,1,144,144,5,1,1,511,7,New Customers
12443,732,1,365,365,1,1,2,112,4,Lost
12444,21,5,4085,4085,4,4,5,445,13,Champions
12445,22,2,379,379,4,2,2,422,8,New Customers
12446,58,1,1002,1002,4,1,3,413,8,New Customers
12447,243,1,431,431,2,1,2,212,5,Lost
12448,44,1,365,365,4,1,2,412,7,New Customers
12449,22,5,4275,4275,4,4,5,445,13,Champions
12450,156,5,688,688,3,4,3,343,10,Loyal Customers
12451,11,8,12630,12630,5,4,5,545,14,Champions
12452,17,1,349,349,5,1,2,512,8,New Customers
12453,134,1,707,707,3,1,3,313,7,Lost
12454,56,4,16460,16460,4,3,5,435,12,Loyal Customers
12455,73,9,5723,5723,3,5,5,355,13,Loyal Customers
12456,44,3,2581,2581,4,3,4,434,11,Loyal Customers
12457,66,7,2556,2556,3,4,4,344,11,Loyal Customers
12458,71,4,1502,1502,3,3,4,334,10,Loyal Customers
12459,605,1,398,398,1,1,2,112,4,Lost
12460,456,1,297,297,1,1,2,112,4,Lost
12461,155,1,627,627,3,1,3,313,7,Lost
12462,19,2,938,938,5,2,3,523,10,New Customers
12463,53,4,1201,1201,4,3,3,433,10,Loyal Customers
12464,10,8,957,957,5,4,3,543,12,Loyal Customers
12465,17,2,682,682,5,2,3,523,10,New Customers
12466,682,1,57,57,1,1,1,111,3,Lost
12467,423,1,133,133,1,1,1,111,3,Lost
12468,188,5,3239,3239,3,4,5,345,12,Loyal Customers
12469,523,2,3071,3071,1,2,5,125,8,Lost
12470,690,1,212,212,1,1,1,111,3,Lost
12471,2,72,35141,28616,5,5,5,555,15,Champions
12472,32,19,14971,14971,4,5,5,455,14,Champions
12473,54,3,2586,2586,4,3,4,434,11,Loyal Customers
12474,17,29,11311,11311,5,5,5,555,15,Champions
12475,54,2,1066,1066,4,2,3,423,9,New Customers
12476,16,18,12320,12320,5,5,5,555,15,Champions
12477,23,9,20276,20276,4,5,5,455,14,Champions
12478,4,1,546,546,5,1,2,512,8,New Customers
12479,11,1,473,473,5,1,2,512,8,New Customers
12480,28,7,4835,4835,4,4,5,445,13,Champions
12481,23,14,11034,11034,4,5,5,455,14,Champions
12482,576,27,21942,21942,1,5,5,155,11,At Risk
12483,17,19,4069,4069,5,5,5,555,15,Champions
12484,35,9,5557,5557,4,5,5,455,14,Champions
12485,529,1,708,708,1,1,3,113,5,Lost
12486,432,1,917,917,1,1,3,113,5,Lost
12487,731,1,285,285,1,1,2,112,4,Lost
12488,10,3,1245,1245,5,3,4,534,12,Loyal Customers
12489,336,1,299,299,2,1,2,212,5,Lost
12490,5,20,8765,8765,5,5,5,555,15,Champions
12491,39,1,424,424,4,1,2,412,7,New Customers
12492,63,3,607,607,3,3,3,333,9,Loyal Customers
12493,166,2,380,380,3,2,2,322,7,Lost
12494,16,9,1563,1563,5,5,4,554,14,Champions
12495,641,1,277,277,1,1,1,111,3,Lost
12496,620,2,45,45,1,2,1,121,4,Lost
12497,82,3,5996,5996,3,3,5,335,11,Loyal Customers
12498,21,3,350,350,4,3,2,432,9,Loyal Customers
12499,560,1,358,358,1,1,2,112,4,Lost
12500,23,18,5559,5559,4,5,5,455,14,Champions
12501,337,1,2025,2025,2,1,4,214,7,Lost
12502,96,5,2996,2996,3,4,5,345,12,Loyal Customers
12503,584,1,896,896,1,1,3,113,5,Lost
12504,18,4,689,689,5,3,3,533,11,Loyal Customers
12505,409,1,787,787,2,1,3,213,6,Lost
12506,233,1,74,74,2,1,1,211,4,Lost
12507,134,4,1508,1508,3,3,4,334,10,Loyal Customers
12508,26,2,398,398,4,2,2,422,8,New Customers
12509,284,1,158,158,2,1,1,211,4,Lost
12510,143,7,3039,3039,3,4,5,345,12,Loyal Customers
12511,429,1,3084,3084,1,1,5,115,7,Lost
